state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Autauga,Republican,Ted Cruz,2482,0.205
Alabama,AL,Baldwin,Republican,Ben Carson,4221,0.084
Alabama,AL,Baldwin,Republican,Donald Trump,23618,0.469
Alabama,AL,Baldwin,Republican,John Kasich,2987,0.059000000000000000
Alabama,AL,Baldwin,Republican,Marco Rubio,9703,0.193
Alabama,AL,Baldwin,Republican,Ted Cruz,8571,0.17
Alabama,AL,Barbour,Republican,Ben Carson,417,0.122
Alabama,AL,Barbour,Republican,Donald Trump,1710,0.501
Alabama,AL,Barbour,Republican,John Kasich,123,0.036000000000000000
Alabama,AL,Barbour,Republican,Marco Rubio,498,0.146
Alabama,AL,Barbour,Republican,Ted Cruz,609,0.179
Alabama,AL,Bibb,Republican,Ben Carson,393,0.099
Alabama,AL,Bibb,Republican,Donald Trump,1959,0.494
Alabama,AL,Bibb,Republican,John Kasich,84,0.021
Alabama,AL,Bibb,Republican,Marco Rubio,444,0.11200000000000000
Alabama,AL,Bibb,Republican,Ted Cruz,1011,0.255
Alabama,AL,Blount,Republican,Ben Carson,1523,0.1
Alabama,AL,Blount,Republican,Donald Trump,7390,0.48700000000000000
Alabama,AL,Blount,Republican,John Kasich,337,0.022000000000000000
Alabama,AL,Blount,Republican,Marco Rubio,1843,0.122
Alabama,AL,Blount,Republican,Ted Cruz,3698,0.244
Alabama,AL,Bullock,Republican,Ben Carson,47,0.085
Alabama,AL,Bullock,Republican,Donald Trump,313,0.565
Alabama,AL,Bullock,Republican,John Kasich,23,0.042
Alabama,AL,Bullock,Republican,Marco Rubio,64,0.11600000000000000
Alabama,AL,Bullock,Republican,Ted Cruz,94,0.17
Alabama,AL,Butler,Republican,Ben Carson,377,0.11800000000000000
Alabama,AL,Butler,Republican,Donald Trump,1720,0.5380000000000000
Alabama,AL,Butler,Republican,John Kasich,86,0.027000000000000000
Alabama,AL,Butler,Republican,Marco Rubio,427,0.133
Alabama,AL,Butler,Republican,Ted Cruz,534,0.16700000000000000
Alabama,AL,Calhoun,Republican,Ben Carson,2350,0.11800000000000000
Alabama,AL,Calhoun,Republican,Donald Trump,8960,0.451
Alabama,AL,Calhoun,Republican,John Kasich,957,0.048
Alabama,AL,Calhoun,Republican,Marco Rubio,3251,0.163
Alabama,AL,Calhoun,Republican,Ted Cruz,3859,0.19400000000000000
Alabama,AL,Chambers,Republican,Ben Carson,595,0.131
Alabama,AL,Chambers,Republican,Donald Trump,2169,0.47600000000000000
Alabama,AL,Chambers,Republican,John Kasich,168,0.037000000000000000
Alabama,AL,Chambers,Republican,Marco Rubio,595,0.131
Alabama,AL,Chambers,Republican,Ted Cruz,914,0.2
Alabama,AL,Cherokee,Republican,Ben Carson,534,0.1
Alabama,AL,Cherokee,Republican,Donald Trump,2777,0.521
Alabama,AL,Cherokee,Republican,John Kasich,151,0.028000000000000000
Alabama,AL,Cherokee,Republican,Marco Rubio,810,0.152
