county,candidate,party,votes,votesm
Marion,Ben Carson,Republican,589,0.589
Marion,Donald Trump,Republican,3503,3.503
Marion,John Kasich,Republican,167,0.167
Marion,Marco Rubio,Republican,921,0.921
Marion,Ted Cruz,Republican,1268,1.268
Marshall,Ben Carson,Republican,1813,1.813
Marshall,Donald Trump,Republican,9115,9.115
Marshall,John Kasich,Republican,595,0.595
Marshall,Marco Rubio,Republican,3785,3.785
Marshall,Ted Cruz,Republican,2784,2.784
Mobile,Ben Carson,Republican,4824,4.824
Mobile,Donald Trump,Republican,28326,28.326
Mobile,John Kasich,Republican,2893,2.893
Mobile,Marco Rubio,Republican,11850,11.85
Mobile,Ted Cruz,Republican,13458,13.458
Monroe,Ben Carson,Republican,373,0.373
Monroe,Donald Trump,Republican,1966,1.966
Monroe,John Kasich,Republican,108,0.108
Monroe,Marco Rubio,Republican,596,0.596
Monroe,Ted Cruz,Republican,658,0.658
Montgomery,Ben Carson,Republican,3379,3.379
Montgomery,Donald Trump,Republican,10517,10.517
Montgomery,John Kasich,Republican,1953,1.953
Montgomery,Marco Rubio,Republican,5570,5.57
Montgomery,Ted Cruz,Republican,4700,4.7
Morgan,Ben Carson,Republican,2790,2.79
Morgan,Donald Trump,Republican,10909,10.909
Morgan,John Kasich,Republican,1109,1.109
Morgan,Marco Rubio,Republican,4488,4.488
Morgan,Ted Cruz,Republican,4828,4.828
Perry,Ben Carson,Republican,15,0.015
Perry,Donald Trump,Republican,192,0.192
Perry,John Kasich,Republican,2,0.002
Perry,Marco Rubio,Republican,33,0.033
Perry,Ted Cruz,Republican,123,0.123
Pickens,Ben Carson,Republican,287,0.287
Pickens,Donald Trump,Republican,1124,1.124
Pickens,John Kasich,Republican,65,0.065
Pickens,Marco Rubio,Republican,353,0.353
Pickens,Ted Cruz,Republican,658,0.658
Pike,Ben Carson,Republican,698,0.698
Pike,Donald Trump,Republican,2493,2.493
Pike,John Kasich,Republican,172,0.172
Pike,Marco Rubio,Republican,798,0.798
Pike,Ted Cruz,Republican,1092,1.092
Randolph,Ben Carson,Republican,426,0.426
Randolph,Donald Trump,Republican,2352,2.352
Randolph,John Kasich,Republican,133,0.133
Randolph,Marco Rubio,Republican,584,0.584
Randolph,Ted Cruz,Republican,942,0.942
Russell,Ben Carson,Republican,298,0.298
Russell,Donald Trump,Republican,1784,1.784
Russell,John Kasich,Republican,106,0.106
Russell,Marco Rubio,Republican,463,0.463
Russell,Ted Cruz,Republican,1016,1.016
Shelby,Ben Carson,Republican,5005,5.005
Shelby,Donald Trump,Republican,18260,18.26
Shelby,John Kasich,Republican,2679,2.679
Shelby,Marco Rubio,Republican,12213,12.213
Shelby,Ted Cruz,Republican,14005,14.005
St. Clair,Ben Carson,Republican,2093,2.093
St. Clair,Donald Trump,Republican,8596,8.596
St. Clair,John Kasich,Republican,518,0.518
St. Clair,Marco Rubio,Republican,2586,2.586
St. Clair,Ted Cruz,Republican,5178,5.178
Sumter,Ben Carson,Republican,21,0.021
Sumter,Donald Trump,Republican,166,0.166
Sumter,John Kasich,Republican,4,0.004
Sumter,Marco Rubio,Republican,39,0.039
Sumter,Ted Cruz,Republican,45,0.045
