county,candidate,party,votes,votesm
Holmes,Hillary Clinton,Democrat,3301,3.301
Humphreys,Bernie Sanders,Democrat,134,0.134
Humphreys,Hillary Clinton,Democrat,2894,2.894
Issaquena,Bernie Sanders,Democrat,20,0.02
Issaquena,Hillary Clinton,Democrat,175,0.175
Itawamba,Bernie Sanders,Democrat,151,0.151
Itawamba,Hillary Clinton,Democrat,377,0.377
Jackson,Bernie Sanders,Democrat,1448,1.448
Jackson,Hillary Clinton,Democrat,4811,4.811
Jasper,Bernie Sanders,Democrat,203,0.203
Jasper,Hillary Clinton,Democrat,1976,1.976
Jeff Davis,Bernie Sanders,Democrat,190,0.19
Jeff Davis,Hillary Clinton,Democrat,1806,1.806
Jefferson,Bernie Sanders,Democrat,175,0.175
Jefferson,Hillary Clinton,Democrat,1550,1.55
Jones,Bernie Sanders,Democrat,510,0.51
Jones,Hillary Clinton,Democrat,2681,2.681
Kemper,Bernie Sanders,Democrat,106,0.106
Kemper,Hillary Clinton,Democrat,1008,1.008
Lafayette,Bernie Sanders,Democrat,1336,1.336
Lafayette,Hillary Clinton,Democrat,2451,2.451
Lamar,Bernie Sanders,Democrat,544,0.544
Lamar,Hillary Clinton,Democrat,1464,1.464
Lauderdale,Bernie Sanders,Democrat,619,0.619
Lauderdale,Hillary Clinton,Democrat,3306,3.306
Lawrence,Bernie Sanders,Democrat,179,0.179
Lawrence,Hillary Clinton,Democrat,1112,1.112
Leake,Bernie Sanders,Democrat,260,0.26
Leake,Hillary Clinton,Democrat,1614,1.614
Lee,Bernie Sanders,Democrat,884,0.884
Lee,Hillary Clinton,Democrat,3020,3.02
Leflore,Bernie Sanders,Democrat,219,0.219
Leflore,Hillary Clinton,Democrat,2094,2.094
Lincoln,Bernie Sanders,Democrat,309,0.309
Lincoln,Hillary Clinton,Democrat,1817,1.817
Lowndes,Bernie Sanders,Democrat,846,0.846
Lowndes,Hillary Clinton,Democrat,4030,4.03
Madison,Bernie Sanders,Democrat,1434,1.434
Madison,Hillary Clinton,Democrat,7414,7.414
Marion,Bernie Sanders,Democrat,202,0.202
Marion,Hillary Clinton,Democrat,1539,1.539
Marshall,Bernie Sanders,Democrat,386,0.386
Marshall,Hillary Clinton,Democrat,3361,3.361
Monroe,Bernie Sanders,Democrat,311,0.311
Monroe,Hillary Clinton,Democrat,1913,1.913
Montgomery,Bernie Sanders,Democrat,109,0.109
Montgomery,Hillary Clinton,Democrat,953,0.953
Neshoba,Bernie Sanders,Democrat,248,0.248
Neshoba,Hillary Clinton,Democrat,929,0.929
Newton,Bernie Sanders,Democrat,182,0.182
Newton,Hillary Clinton,Democrat,1000,1.0
Noxubee,Bernie Sanders,Democrat,134,0.134
Noxubee,Hillary Clinton,Democrat,1397,1.397
Oktibbeha,Bernie Sanders,Democrat,739,0.739
Oktibbeha,Hillary Clinton,Democrat,2389,2.389
Panola,Bernie Sanders,Democrat,479,0.479
Panola,Hillary Clinton,Democrat,3061,3.061
Pearl River,Bernie Sanders,Democrat,352,0.352
Pearl River,Hillary Clinton,Democrat,974,0.974
Perry,Bernie Sanders,Democrat,77,0.077
Perry,Hillary Clinton,Democrat,401,0.401
Pike,Bernie Sanders,Democrat,425,0.425
Pike,Hillary Clinton,Democrat,2870,2.87
Pontotoc,Bernie Sanders,Democrat,271,0.271
Pontotoc,Hillary Clinton,Democrat,733,0.733
Prentiss,Bernie Sanders,Democrat,251,0.251
Prentiss,Hillary Clinton,Democrat,681,0.681
Quitman,Bernie Sanders,Democrat,142,0.142
Quitman,Hillary Clinton,Democrat,986,0.986
Rankin,Bernie Sanders,Democrat,1356,1.356
Rankin,Hillary Clinton,Democrat,4689,4.689
Scott,Bernie Sanders,Democrat,309,0.309
Scott,Hillary Clinton,Democrat,2013,2.013
Sharkey,Bernie Sanders,Democrat,57,0.057
Sharkey,Hillary Clinton,Democrat,645,0.645
Simpson,Bernie Sanders,Democrat,294,0.294
Simpson,Hillary Clinton,Democrat,1855,1.855
Smith,Bernie Sanders,Democrat,147,0.147
Smith,Hillary Clinton,Democrat,712,0.712
Stone,Bernie Sanders,Democrat,144,0.144
Stone,Hillary Clinton,Democrat,544,0.544
Sunflower,Bernie Sanders,Democrat,299,0.299
Sunflower,Hillary Clinton,Democrat,2332,2.332
Tallahatchie,Bernie Sanders,Democrat,166,0.166
Tallahatchie,Hillary Clinton,Democrat,1341,1.341
Tate,Bernie Sanders,Democrat,242,0.242
Tate,Hillary Clinton,Democrat,1435,1.435
Tippah,Bernie Sanders,Democrat,172,0.172
Tippah,Hillary Clinton,Democrat,575,0.575
Tishomingo,Bernie Sanders,Democrat,197,0.197
Tishomingo,Hillary Clinton,Democrat,361,0.361
Tunica,Bernie Sanders,Democrat,220,0.22
Tunica,Hillary Clinton,Democrat,904,0.904
Union,Bernie Sanders,Democrat,223,0.223
Union,Hillary Clinton,Democrat,593,0.593
Walthall,Bernie Sanders,Democrat,132,0.132
Walthall,Hillary Clinton,Democrat,1111,1.111
Warren,Bernie Sanders,Democrat,612,0.612
Warren,Hillary Clinton,Democrat,3463,3.463
Washington,Bernie Sanders,Democrat,409,0.409
Washington,Hillary Clinton,Democrat,2982,2.982
Wayne,Bernie Sanders,Democrat,251,0.251
Wayne,Hillary Clinton,Democrat,1441,1.441
Webster,Bernie Sanders,Democrat,79,0.079
Webster,Hillary Clinton,Democrat,397,0.397
Wilkinson,Bernie Sanders,Democrat,69,0.069
Wilkinson,Hillary Clinton,Democrat,1269,1.269
Winston,Bernie Sanders,Democrat,202,0.202
Winston,Hillary Clinton,Democrat,1442,1.442
Yalobusha,Bernie Sanders,Democrat,215,0.215
Yalobusha,Hillary Clinton,Democrat,1214,1.214
Yazoo,Bernie Sanders,Democrat,203,0.203
Yazoo,Hillary Clinton,Democrat,2203,2.203
Adams,Donald Trump,Republican,1434,1.434
Adams,John Kasich,Republican,300,0.3
Adams,Marco Rubio,Republican,191,0.191
Adams,Ted Cruz,Republican,1017,1.017
Alcorn,Donald Trump,Republican,2901,2.901
Alcorn,John Kasich,Republican,415,0.415
Alcorn,Marco Rubio,Republican,320,0.32
Alcorn,Ted Cruz,Republican,2003,2.003
Amite,Donald Trump,Republican,1178,1.178
Amite,John Kasich,Republican,129,0.129
Amite,Marco Rubio,Republican,70,0.07
Amite,Ted Cruz,Republican,848,0.848
Attala,Donald Trump,Republican,1350,1.35
Attala,John Kasich,Republican,176,0.176
Attala,Marco Rubio,Republican,125,0.125
Attala,Ted Cruz,Republican,930,0.93
Benton,Donald Trump,Republican,555,0.555
Benton,John Kasich,Republican,31,0.031
Benton,Marco Rubio,Republican,34,0.034
Benton,Ted Cruz,Republican,388,0.388
Bolivar,Donald Trump,Republican,1395,1.395
Bolivar,John Kasich,Republican,378,0.378
Bolivar,Marco Rubio,Republican,159,0.159
Bolivar,Ted Cruz,Republican,602,0.602
Calhoun,Donald Trump,Republican,1323,1.323
Calhoun,John Kasich,Republican,116,0.116
Calhoun,Marco Rubio,Republican,84,0.084
Calhoun,Ted Cruz,Republican,814,0.814
Carroll,Donald Trump,Republican,1133,1.133
Carroll,John Kasich,Republican,149,0.149
Carroll,Marco Rubio,Republican,86,0.086
Carroll,Ted Cruz,Republican,649,0.649
Chickasaw,Donald Trump,Republican,1056,1.056
Chickasaw,John Kasich,Republican,95,0.095
Chickasaw,Marco Rubio,Republican,96,0.096
Chickasaw,Ted Cruz,Republican,721,0.721
Choctaw,Donald Trump,Republican,765,0.765
Choctaw,John Kasich,Republican,102,0.102
Choctaw,Marco Rubio,Republican,69,0.069
Choctaw,Ted Cruz,Republican,621,0.621
Claiborne,Donald Trump,Republican,134,0.134
Claiborne,John Kasich,Republican,16,0.016
Claiborne,Marco Rubio,Republican,7,0.007
Claiborne,Ted Cruz,Republican,63,0.063
Clarke,Donald Trump,Republican,1399,1.399
Clarke,John Kasich,Republican,163,0.163
Clarke,Marco Rubio,Republican,116,0.116
Clarke,Ted Cruz,Republican,1072,1.072
Clay,Donald Trump,Republican,1049,1.049
Clay,John Kasich,Republican,172,0.172
Clay,Marco Rubio,Republican,107,0.107
Clay,Ted Cruz,Republican,865,0.865
Coahoma,Donald Trump,Republican,598,0.598
Coahoma,John Kasich,Republican,145,0.145
Coahoma,Marco Rubio,Republican,60,0.06
Coahoma,Ted Cruz,Republican,281,0.281
Copiah,Donald Trump,Republican,2026,2.026
Copiah,John Kasich,Republican,262,0.262
Copiah,Marco Rubio,Republican,161,0.161
Copiah,Ted Cruz,Republican,1147,1.147
Covington,Donald Trump,Republican,1724,1.724
Covington,John Kasich,Republican,128,0.128
Covington,Marco Rubio,Republican,78,0.078
Covington,Ted Cruz,Republican,1090,1.09
DeSoto,Donald Trump,Republican,10507,10.507
DeSoto,John Kasich,Republican,1498,1.498
DeSoto,Marco Rubio,Republican,1499,1.499
DeSoto,Ted Cruz,Republican,12300,12.3
Forrest,Donald Trump,Republican,4267,4.267
Forrest,John Kasich,Republican,1159,1.159
Forrest,Marco Rubio,Republican,500,0.5
Forrest,Ted Cruz,Republican,3668,3.668
Franklin,Donald Trump,Republican,761,0.761
Franklin,John Kasich,Republican,82,0.082
Franklin,Marco Rubio,Republican,58,0.058
Franklin,Ted Cruz,Republican,645,0.645
George,Donald Trump,Republican,2245,2.245
George,John Kasich,Republican,166,0.166
George,Marco Rubio,Republican,192,0.192
George,Ted Cruz,Republican,1944,1.944
Greene,Donald Trump,Republican,1088,1.088
Greene,John Kasich,Republican,90,0.09
Greene,Marco Rubio,Republican,100,0.1
Greene,Ted Cruz,Republican,826,0.826
Grenada,Donald Trump,Republican,1727,1.727
Grenada,John Kasich,Republican,214,0.214
Grenada,Marco Rubio,Republican,129,0.129
Grenada,Ted Cruz,Republican,960,0.96
Hancock,Donald Trump,Republican,4147,4.147
Hancock,John Kasich,Republican,598,0.598
Hancock,Marco Rubio,Republican,354,0.354
Hancock,Ted Cruz,Republican,2004,2.004
Harrison,Donald Trump,Republican,12555,12.555
Harrison,John Kasich,Republican,2479,2.479
Harrison,Marco Rubio,Republican,1382,1.382
Harrison,Ted Cruz,Republican,7832,7.832
Hinds,Donald Trump,Republican,6976,6.976
Hinds,John Kasich,Republican,3177,3.177
Hinds,Marco Rubio,Republican,1298,1.298
Hinds,Ted Cruz,Republican,5775,5.775
Holmes,Donald Trump,Republican,413,0.413
Holmes,John Kasich,Republican,67,0.067
Holmes,Marco Rubio,Republican,27,0.027
Holmes,Ted Cruz,Republican,200,0.2
Humphreys,Donald Trump,Republican,433,0.433
Humphreys,John Kasich,Republican,62,0.062
Humphreys,Marco Rubio,Republican,48,0.048
Humphreys,Ted Cruz,Republican,126,0.126
Issaquena,Donald Trump,Republican,117,0.117
Issaquena,John Kasich,Republican,14,0.014
Issaquena,Marco Rubio,Republican,8,0.008
Issaquena,Ted Cruz,Republican,26,0.026
Itawamba,Donald Trump,Republican,1905,1.905
Itawamba,John Kasich,Republican,226,0.226
Itawamba,Marco Rubio,Republican,180,0.18
Itawamba,Ted Cruz,Republican,1775,1.775
Jackson,Donald Trump,Republican,9934,9.934
Jackson,John Kasich,Republican,1720,1.72
Jackson,Marco Rubio,Republican,1101,1.101
Jackson,Ted Cruz,Republican,7080,7.08
Jasper,Donald Trump,Republican,1286,1.286
Jasper,John Kasich,Republican,93,0.093
Jasper,Marco Rubio,Republican,40,0.04
Jasper,Ted Cruz,Republican,821,0.821
Jeff Davis,Donald Trump,Republican,763,0.763
Jeff Davis,John Kasich,Republican,70,0.07
Jeff Davis,Marco Rubio,Republican,54,0.054
Jeff Davis,Ted Cruz,Republican,418,0.418
Jefferson,Donald Trump,Republican,116,0.116
Jefferson,John Kasich,Republican,19,0.019
Jefferson,Marco Rubio,Republican,16,0.016
Jefferson,Ted Cruz,Republican,85,0.085
Jones,Donald Trump,Republican,6388,6.388
Jones,John Kasich,Republican,454,0.454
Jones,Marco Rubio,Republican,304,0.304
Jones,Ted Cruz,Republican,4648,4.648
Kemper,Donald Trump,Republican,484,0.484
Kemper,John Kasich,Republican,53,0.053
Kemper,Marco Rubio,Republican,42,0.042
Kemper,Ted Cruz,Republican,328,0.328
Lafayette,Donald Trump,Republican,2521,2.521
Lafayette,John Kasich,Republican,1261,1.261
Lafayette,Marco Rubio,Republican,677,0.677
Lafayette,Ted Cruz,Republican,2306,2.306
Lamar,Donald Trump,Republican,5197,5.197
Lamar,John Kasich,Republican,1039,1.039
Lamar,Marco Rubio,Republican,534,0.534
Lamar,Ted Cruz,Republican,4355,4.355
Lauderdale,Donald Trump,Republican,4740,4.74
Lauderdale,John Kasich,Republican,955,0.955
Lauderdale,Marco Rubio,Republican,569,0.569
Lauderdale,Ted Cruz,Republican,3857,3.857
Lawrence,Donald Trump,Republican,1201,1.201
Lawrence,John Kasich,Republican,98,0.098
Lawrence,Marco Rubio,Republican,91,0.091
Lawrence,Ted Cruz,Republican,717,0.717
Leake,Donald Trump,Republican,1413,1.413
Leake,John Kasich,Republican,159,0.159
Leake,Marco Rubio,Republican,90,0.09
Leake,Ted Cruz,Republican,1010,1.01
Lee,Donald Trump,Republican,5369,5.369
Lee,John Kasich,Republican,1244,1.244
Lee,Marco Rubio,Republican,727,0.727
Lee,Ted Cruz,Republican,5921,5.921
Leflore,Donald Trump,Republican,766,0.766
Leflore,John Kasich,Republican,322,0.322
Leflore,Marco Rubio,Republican,69,0.069
Leflore,Ted Cruz,Republican,402,0.402
Lincoln,Donald Trump,Republican,2950,2.95
Lincoln,John Kasich,Republican,492,0.492
Lincoln,Marco Rubio,Republican,358,0.358
Lincoln,Ted Cruz,Republican,2246,2.246
Lowndes,Donald Trump,Republican,3342,3.342
Lowndes,John Kasich,Republican,748,0.748
Lowndes,Marco Rubio,Republican,453,0.453
Lowndes,Ted Cruz,Republican,3155,3.155
Madison,Donald Trump,Republican,7540,7.54
Madison,John Kasich,Republican,3426,3.426
Madison,Marco Rubio,Republican,1250,1.25
Madison,Ted Cruz,Republican,5408,5.408
Marion,Donald Trump,Republican,2454,2.454
Marion,John Kasich,Republican,201,0.201
Marion,Marco Rubio,Republican,159,0.159
Marion,Ted Cruz,Republican,1786,1.786
Marshall,Donald Trump,Republican,1712,1.712
Marshall,John Kasich,Republican,131,0.131
Marshall,Marco Rubio,Republican,161,0.161
Marshall,Ted Cruz,Republican,1679,1.679
Monroe,Donald Trump,Republican,2602,2.602
Monroe,John Kasich,Republican,347,0.347
Monroe,Marco Rubio,Republican,303,0.303
Monroe,Ted Cruz,Republican,1772,1.772
Montgomery,Donald Trump,Republican,698,0.698
Montgomery,John Kasich,Republican,103,0.103
Montgomery,Marco Rubio,Republican,56,0.056
Montgomery,Ted Cruz,Republican,520,0.52
Neshoba,Donald Trump,Republican,2249,2.249
Neshoba,John Kasich,Republican,381,0.381
Neshoba,Marco Rubio,Republican,203,0.203
Neshoba,Ted Cruz,Republican,1500,1.5
Newton,Donald Trump,Republican,1794,1.794
Newton,John Kasich,Republican,255,0.255
Newton,Marco Rubio,Republican,188,0.188
Newton,Ted Cruz,Republican,1519,1.519
Noxubee,Donald Trump,Republican,229,0.229
Noxubee,John Kasich,Republican,46,0.046
Noxubee,Marco Rubio,Republican,29,0.029
Noxubee,Ted Cruz,Republican,282,0.282
Oktibbeha,Donald Trump,Republican,1548,1.548
Oktibbeha,John Kasich,Republican,858,0.858
Oktibbeha,Marco Rubio,Republican,420,0.42
Oktibbeha,Ted Cruz,Republican,1937,1.937
Panola,Donald Trump,Republican,2272,2.272
Panola,John Kasich,Republican,193,0.193
Panola,Marco Rubio,Republican,206,0.206
Panola,Ted Cruz,Republican,1406,1.406
Pearl River,Donald Trump,Republican,4562,4.562
Pearl River,John Kasich,Republican,476,0.476
Pearl River,Marco Rubio,Republican,343,0.343
Pearl River,Ted Cruz,Republican,3483,3.483
Perry,Donald Trump,Republican,676,0.676
Perry,John Kasich,Republican,55,0.055
Perry,Marco Rubio,Republican,23,0.023
Perry,Ted Cruz,Republican,549,0.549
Pike,Donald Trump,Republican,2187,2.187
Pike,John Kasich,Republican,468,0.468
Pike,Marco Rubio,Republican,161,0.161
Pike,Ted Cruz,Republican,1439,1.439
Pontotoc,Donald Trump,Republican,2320,2.32
Pontotoc,John Kasich,Republican,314,0.314
Pontotoc,Marco Rubio,Republican,213,0.213
Pontotoc,Ted Cruz,Republican,2498,2.498
Prentiss,Donald Trump,Republican,1597,1.597
Prentiss,John Kasich,Republican,191,0.191
Prentiss,Marco Rubio,Republican,164,0.164
Prentiss,Ted Cruz,Republican,1369,1.369
Quitman,Donald Trump,Republican,210,0.21
Quitman,John Kasich,Republican,29,0.029
Quitman,Marco Rubio,Republican,23,0.023
Quitman,Ted Cruz,Republican,128,0.128
Rankin,Donald Trump,Republican,13729,13.729
Rankin,John Kasich,Republican,3038,3.038
Rankin,Marco Rubio,Republican,1633,1.633
Rankin,Ted Cruz,Republican,10280,10.28
Scott,Donald Trump,Republican,1823,1.823
Scott,John Kasich,Republican,208,0.208
Scott,Marco Rubio,Republican,152,0.152
Scott,Ted Cruz,Republican,1214,1.214
Sharkey,Donald Trump,Republican,232,0.232
Sharkey,John Kasich,Republican,32,0.032
Sharkey,Marco Rubio,Republican,28,0.028
Sharkey,Ted Cruz,Republican,110,0.11
Simpson,Donald Trump,Republican,2420,2.42
Simpson,John Kasich,Republican,310,0.31
Simpson,Marco Rubio,Republican,210,0.21
Simpson,Ted Cruz,Republican,1561,1.561
Smith,Donald Trump,Republican,1820,1.82
Smith,John Kasich,Republican,115,0.115
Smith,Marco Rubio,Republican,86,0.086
Smith,Ted Cruz,Republican,1182,1.182
Stone,Donald Trump,Republican,1401,1.401
Stone,John Kasich,Republican,172,0.172
Stone,Marco Rubio,Republican,108,0.108
Stone,Ted Cruz,Republican,1428,1.428
Sunflower,Donald Trump,Republican,897,0.897
Sunflower,John Kasich,Republican,163,0.163
Sunflower,Marco Rubio,Republican,71,0.071
Sunflower,Ted Cruz,Republican,306,0.306
Tallahatchie,Donald Trump,Republican,769,0.769
Tallahatchie,John Kasich,Republican,65,0.065
Tallahatchie,Marco Rubio,Republican,40,0.04
Tallahatchie,Ted Cruz,Republican,313,0.313
Tate,Donald Trump,Republican,1795,1.795
Tate,John Kasich,Republican,178,0.178
Tate,Marco Rubio,Republican,184,0.184
Tate,Ted Cruz,Republican,2034,2.034
Tippah,Donald Trump,Republican,1951,1.951
Tippah,John Kasich,Republican,223,0.223
Tippah,Marco Rubio,Republican,173,0.173
Tippah,Ted Cruz,Republican,1551,1.551
Tishomingo,Donald Trump,Republican,1854,1.854
Tishomingo,John Kasich,Republican,222,0.222
Tishomingo,Marco Rubio,Republican,153,0.153
Tishomingo,Ted Cruz,Republican,1228,1.228
Tunica,Donald Trump,Republican,150,0.15
Tunica,John Kasich,Republican,19,0.019
Tunica,Marco Rubio,Republican,12,0.012
Tunica,Ted Cruz,Republican,82,0.082
Union,Donald Trump,Republican,2169,2.169
Union,John Kasich,Republican,318,0.318
Union,Marco Rubio,Republican,242,0.242
Union,Ted Cruz,Republican,2113,2.113
Walthall,Donald Trump,Republican,1143,1.143
Walthall,John Kasich,Republican,134,0.134
Walthall,Marco Rubio,Republican,73,0.073
Walthall,Ted Cruz,Republican,598,0.598
Warren,Donald Trump,Republican,2987,2.987
Warren,John Kasich,Republican,656,0.656
Warren,Marco Rubio,Republican,364,0.364
Warren,Ted Cruz,Republican,1824,1.824
Washington,Donald Trump,Republican,1349,1.349
Washington,John Kasich,Republican,321,0.321
Washington,Marco Rubio,Republican,112,0.112
Washington,Ted Cruz,Republican,615,0.615
Wayne,Donald Trump,Republican,1735,1.735
Wayne,John Kasich,Republican,122,0.122
Wayne,Marco Rubio,Republican,98,0.098
Wayne,Ted Cruz,Republican,1306,1.306
Webster,Donald Trump,Republican,1191,1.191
Webster,John Kasich,Republican,128,0.128
Webster,Marco Rubio,Republican,99,0.099
Webster,Ted Cruz,Republican,884,0.884
Wilkinson,Donald Trump,Republican,364,0.364
Wilkinson,John Kasich,Republican,30,0.03
Wilkinson,Marco Rubio,Republican,22,0.022
Wilkinson,Ted Cruz,Republican,225,0.225
Winston,Donald Trump,Republican,1156,1.156
Winston,John Kasich,Republican,231,0.231
Winston,Marco Rubio,Republican,121,0.121
Winston,Ted Cruz,Republican,941,0.941
Yalobusha,Donald Trump,Republican,1029,1.029
Yalobusha,John Kasich,Republican,116,0.116
Yalobusha,Marco Rubio,Republican,70,0.07
Yalobusha,Ted Cruz,Republican,612,0.612
Yazoo,Donald Trump,Republican,1510,1.51
Yazoo,John Kasich,Republican,206,0.206
Yazoo,Marco Rubio,Republican,152,0.152
Yazoo,Ted Cruz,Republican,842,0.842
Adair,Bernie Sanders,Democrat,1153,1.153
Adair,Hillary Clinton,Democrat,799,0.799
Andrew,Bernie Sanders,Democrat,728,0.728
Andrew,Hillary Clinton,Democrat,498,0.498
Atchison,Bernie Sanders,Democrat,173,0.173
Atchison,Hillary Clinton,Democrat,141,0.141
Audrain,Bernie Sanders,Democrat,728,0.728
Audrain,Hillary Clinton,Democrat,749,0.749
Barry,Bernie Sanders,Democrat,796,0.796
Barry,Hillary Clinton,Democrat,874,0.874
Barton,Bernie Sanders,Democrat,214,0.214
Barton,Hillary Clinton,Democrat,205,0.205
Bates,Bernie Sanders,Democrat,632,0.632
Bates,Hillary Clinton,Democrat,518,0.518
Benton,Bernie Sanders,Democrat,567,0.567
Benton,Hillary Clinton,Democrat,669,0.669
Bollinger,Bernie Sanders,Democrat,203,0.203
Bollinger,Hillary Clinton,Democrat,242,0.242
Boone,Bernie Sanders,Democrat,15076,15.076
Boone,Hillary Clinton,Democrat,9628,9.628
Buchanan,Bernie Sanders,Democrat,4148,4.148
Buchanan,Hillary Clinton,Democrat,3443,3.443
Butler,Bernie Sanders,Democrat,766,0.766
Butler,Hillary Clinton,Democrat,889,0.889
Caldwell,Bernie Sanders,Democrat,314,0.314
Caldwell,Hillary Clinton,Democrat,244,0.244
Callaway,Bernie Sanders,Democrat,1678,1.678
Callaway,Hillary Clinton,Democrat,1378,1.378
Camden,Bernie Sanders,Democrat,1419,1.419
Camden,Hillary Clinton,Democrat,1388,1.388
Cape Girardeau,Bernie Sanders,Democrat,2335,2.335
Cape Girardeau,Hillary Clinton,Democrat,2076,2.076
Carroll,Bernie Sanders,Democrat,255,0.255
Carroll,Hillary Clinton,Democrat,233,0.233
Carter,Bernie Sanders,Democrat,142,0.142
Carter,Hillary Clinton,Democrat,138,0.138
Cass,Bernie Sanders,Democrat,4185,4.185
Cass,Hillary Clinton,Democrat,3765,3.765
Cedar,Bernie Sanders,Democrat,361,0.361
Cedar,Hillary Clinton,Democrat,332,0.332
Chariton,Bernie Sanders,Democrat,274,0.274
Chariton,Hillary Clinton,Democrat,321,0.321
Christian,Bernie Sanders,Democrat,3073,3.073
Christian,Hillary Clinton,Democrat,2146,2.146
Clark,Bernie Sanders,Democrat,178,0.178
Clark,Hillary Clinton,Democrat,202,0.202
Clay,Bernie Sanders,Democrat,12542,12.542
Clay,Hillary Clinton,Democrat,10630,10.63
Clinton,Bernie Sanders,Democrat,852,0.852
Clinton,Hillary Clinton,Democrat,765,0.765
Cole,Bernie Sanders,Democrat,3303,3.303
Cole,Hillary Clinton,Democrat,2798,2.798
Cooper,Bernie Sanders,Democrat,501,0.501
Cooper,Hillary Clinton,Democrat,516,0.516
Crawford,Bernie Sanders,Democrat,712,0.712
Crawford,Hillary Clinton,Democrat,522,0.522
Dade,Bernie Sanders,Democrat,213,0.213
Dade,Hillary Clinton,Democrat,201,0.201
Dallas,Bernie Sanders,Democrat,515,0.515
Dallas,Hillary Clinton,Democrat,397,0.397
Daviess,Bernie Sanders,Democrat,221,0.221
Daviess,Hillary Clinton,Democrat,239,0.239
DeKalb,Bernie Sanders,Democrat,328,0.328
DeKalb,Hillary Clinton,Democrat,221,0.221
Dent,Bernie Sanders,Democrat,449,0.449
Dent,Hillary Clinton,Democrat,327,0.327
Douglas,Bernie Sanders,Democrat,384,0.384
Douglas,Hillary Clinton,Democrat,268,0.268
Dunklin,Bernie Sanders,Democrat,448,0.448
Dunklin,Hillary Clinton,Democrat,724,0.724
Franklin,Bernie Sanders,Democrat,4784,4.784
Franklin,Hillary Clinton,Democrat,3701,3.701
Gasconade,Bernie Sanders,Democrat,507,0.507
Gasconade,Hillary Clinton,Democrat,401,0.401
Gentry,Bernie Sanders,Democrat,176,0.176
Gentry,Hillary Clinton,Democrat,171,0.171
Greene,Bernie Sanders,Democrat,17403,17.403
Greene,Hillary Clinton,Democrat,10910,10.91
Grundy,Bernie Sanders,Democrat,262,0.262
Grundy,Hillary Clinton,Democrat,219,0.219
Harrison,Bernie Sanders,Democrat,163,0.163
Harrison,Hillary Clinton,Democrat,158,0.158
Henry,Bernie Sanders,Democrat,696,0.696
Henry,Hillary Clinton,Democrat,780,0.78
Hickory,Bernie Sanders,Democrat,60,0.06
Hickory,Hillary Clinton,Democrat,73,0.073
Holt,Bernie Sanders,Democrat,110,0.11
Holt,Hillary Clinton,Democrat,128,0.128
Howard,Bernie Sanders,Democrat,408,0.408
Howard,Hillary Clinton,Democrat,413,0.413
Howell,Bernie Sanders,Democrat,1209,1.209
Howell,Hillary Clinton,Democrat,833,0.833
Iron,Bernie Sanders,Democrat,426,0.426
Iron,Hillary Clinton,Democrat,349,0.349
Jackson,Bernie Sanders,Democrat,42823,42.823
Jackson,Hillary Clinton,Democrat,48860,48.86
Jasper,Bernie Sanders,Democrat,3826,3.826
Jasper,Hillary Clinton,Democrat,2289,2.289
Jefferson,Bernie Sanders,Democrat,11830,11.83
Jefferson,Hillary Clinton,Democrat,9637,9.637
Johnson,Bernie Sanders,Democrat,1944,1.944
Johnson,Hillary Clinton,Democrat,1473,1.473
Knox,Bernie Sanders,Democrat,94,0.094
Knox,Hillary Clinton,Democrat,134,0.134
LaClede,Bernie Sanders,Democrat,927,0.927
LaClede,Hillary Clinton,Democrat,737,0.737
Lafayette,Bernie Sanders,Democrat,1324,1.324
Lafayette,Hillary Clinton,Democrat,1173,1.173
Lawrence,Bernie Sanders,Democrat,1028,1.028
Lawrence,Hillary Clinton,Democrat,872,0.872
Lewis,Bernie Sanders,Democrat,239,0.239
Lewis,Hillary Clinton,Democrat,239,0.239
Lincoln,Bernie Sanders,Democrat,1976,1.976
Lincoln,Hillary Clinton,Democrat,1561,1.561
Linn,Bernie Sanders,Democrat,409,0.409
Linn,Hillary Clinton,Democrat,436,0.436
Livingston,Bernie Sanders,Democrat,398,0.398
Livingston,Hillary Clinton,Democrat,397,0.397
Macon,Bernie Sanders,Democrat,505,0.505
Macon,Hillary Clinton,Democrat,421,0.421
Madison,Bernie Sanders,Democrat,334,0.334
Madison,Hillary Clinton,Democrat,346,0.346
Maries,Bernie Sanders,Democrat,291,0.291
Maries,Hillary Clinton,Democrat,305,0.305
Marion,Bernie Sanders,Democrat,707,0.707
Marion,Hillary Clinton,Democrat,925,0.925
McDonald,Bernie Sanders,Democrat,385,0.385
McDonald,Hillary Clinton,Democrat,364,0.364
Mercer,Bernie Sanders,Democrat,63,0.063
Mercer,Hillary Clinton,Democrat,69,0.069
Miller,Bernie Sanders,Democrat,480,0.48
Miller,Hillary Clinton,Democrat,432,0.432
Mississippi,Bernie Sanders,Democrat,209,0.209
Mississippi,Hillary Clinton,Democrat,486,0.486
Moniteau,Bernie Sanders,Democrat,409,0.409
Moniteau,Hillary Clinton,Democrat,340,0.34
Monroe,Bernie Sanders,Democrat,226,0.226
Monroe,Hillary Clinton,Democrat,252,0.252
Montgomery,Bernie Sanders,Democrat,324,0.324
Montgomery,Hillary Clinton,Democrat,330,0.33
Morgan,Bernie Sanders,Democrat,506,0.506
Morgan,Hillary Clinton,Democrat,554,0.554
New Madrid,Bernie Sanders,Democrat,360,0.36
